"Methedology:
1. Open IDB website
2. Click on 'Projects'
3. Scroll down and click on 'Download Project Information (.xlsx)'
4. Apply following filters: 
            - Sector: AGRICULTURE AND RURAL DEVELOPMENT 
            - Approval date: 01/01/2015-12/31/2025
5. Click three buttons > Export data ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Keywords Found in Unnamed: 1,Keywords Found in Unnamed: 2,Keywords Found in Unnamed: 4,Keywords Found in Unnamed: 8,Keywords Found in Unnamed: 16,Keywords Found in Unnamed: 20,Keywords Found in Unnamed: 22,Keywords Found (Any Column)
RG-W1253,Research Fellow,The principal objective of this consultancy consists of providing technical assistance in various activities related with the design and implementation of impact evaluations of agricultural projects as well as to actively collaborate with the Agrimonitor initiative.,,Externally Funded Contractuals,6/16/17,6/16/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Haiti; Headquarters; Regional,EXITED,,67740,GRT/KK-16190-RG,RSF,USD,KPK-Knowledge Partnership Korea Fund for Tec,67740,64896,"Tuesday, July 31, 2018",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
SU-L1020,Agricultural Competitiveness Program,"The program objective is to increase the competitiveness of the agricultural sector through the improvement of animal health, plant health and food safety and agricultural research and technology transfer services.",Sovereign Guaranteed,Loan Operation,6/19/17,6/23/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Suriname,ACTIVE,B,17500000,4097/OC-SU,ESP,USD,ORC-Ordinary Capital,17500000,10128132.86,"Sunday, June 15, 2025",REPUBLIC OF SURINAME,Yes,"MINISTRY OF AGRICULTURE HUSBANDRY, FISHERIES AND FORESTRY",2.120000000000000; 5.095000000000000; 5.095000000000000; 5.568243000000000,2042-06-15; 2027-06-15; 2042-06-15; 2042-06-15,304.10000000000002; 121.5; 304.10000000000002; 304.10000000000002,[],['animal health'],[],[],[],[],[],['animal health']
PE-T1358,Climate-smart Agriculture Development Impact Bond Model for Productive Improvement of Agroforestry Products and the Conservation of the Forest of Asháninka Communities in the Peruvian Amazon,"The project seeks to implement a Climate Smart Agriculture Development Impact Bond (CSA-DIB), to increase farmer productivity, access high value markets, and improve environmental management to capture of CO2 and preserve forest landscapes. Specifically, the project will have an impact on the following results, which are also a condition of payment of the Bond: i) % increase in productivity; (ii) number of conserved hectares or with sustainable management; (iii) captured CO2; (iv) increase in sales to high value markets; (v) increase in sales of its cooperative partners. The CSA-DIB model is designed with an investor who assumes the risk and achieves return on his investment according to the results of the project, while the donors pay only subject to the achievement of the results. The MIF will be the Outcome Payer.",Non-Sovereign Guaranteed,Technical Cooperation,7/19/17,1/9/18,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Peru,EXITED,C,3137700,ATN/ME-16231-PE,,USD,MSE-Multilateral Investment Fund II (MIF) -,1340000,76500,"Wednesday, April 25, 2018",Not Defined,No,The Rainforest Foundation UK,,,,[],"['cooperative', 'productivity']",[],[],[],[],[],"['cooperative', 'productivity']"
RG-T2979,FONTAGRO Knowledge Management Phase III,"The project's main goal is to contribute to the promotion and dissemination of innovations in family agriculture in LAC, through continue the implementation of the strategy designed in Phase II-A to strengthen knowledge management capacity and communication skills of FONTAGRO and its stakeholders. The specific objectives are: (a) reinforce FONTAGRO's brand positioning; (b) strengthen dissemination and visibility of research results to a broader audience; and (c) support knowledge management and communications outputs of researchers involved in FONTAGRO's projects.",Sovereign Guaranteed,Technical Cooperation,7/24/17,7/24/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina; Bolivia; Chile; Colombia; Costa Rica; Dominican Republic; Ecuador; Headquarters; Honduras; Nicaragua; Panama; Paraguay; Peru; Regional; Uruguay; Venezuela,EXITED,C,145000,ATN/KK-16247-RG,,USD,KPK-Knowledge Partnership Korea Fund for Tec,100000,99534.63,"Friday, January 10, 2020",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
RG-T3072,FONTAGRO Knowledge Management Phase III,Reinforce FONTAGRO's brand positioning; (b) strengthen dissemination and visibility of research results to a broader audience; and (c) strengthen researchers' ability to successfully share and transmit their findings to targeted audiences.,Sovereign Guaranteed,Technical Cooperation,7/25/17,7/25/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,Argentina; Bolivia; Chile; Colombia; Costa Rica; Dominican Republic; Ecuador; Headquarters; Honduras; Nicaragua; Panama; Paraguay; Peru; Regional; Uruguay; Venezuela,EXITED,C,45000,ATN/RF-16248-RG,,USD,RFA-Regional Agricultural Fund,45000,43298.58,"Tuesday, May 14, 2019",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
BR-Q0019,Development of a Macauba-Based Silvopastoral System and Value Chain,To increase small-holder farmer productivity and create a macauba value chain that mitigates climate change,Non-Sovereign Guaranteed,Equity,7/26/17,10/1/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Brazil,ACTIVE,C,3643000,EQU/SX-16254-BR,,USD,SCX-Strategic Climate Fund,3000000,3000000,"Tuesday, June 15, 2021",INOCAS SOLUCOES EM MEIO AMBIENTE SA,Yes,INOCAS SOLUCOES EM MEIO AMBIENTE SA,,,,"['silvopastoral', 'value chain']","['productivity', 'smallholder', 'value chain']",[],[],[],[],[],"['productivity', 'silvopastoral', 'smallholder', 'value chain']"
BR-T1333,Development of Macauba-based Silvopastoral System and Value Chain,To increase small-holder farmer productivity and create a macauba value chain that mitigates climate change,Non-Sovereign Guaranteed,Technical Cooperation,7/26/17,7/26/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Brazil,ACTIVE,,2969000,ATN/ME-16252-BR,,USD,MSE-Multilateral Investment Fund II (MIF) -,326000,298776.98,"Monday, October 28, 2024",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,"['silvopastoral', 'value chain']","['productivity', 'smallholder', 'value chain']",[],[],[],[],[],"['productivity', 'silvopastoral', 'smallholder', 'value chain']"
BR-T1333,Development of Macauba-based Silvopastoral System and Value Chain,To increase small-holder farmer productivity and create a macauba value chain that mitigates climate change,Non-Sovereign Guaranteed,Technical Cooperation,7/26/17,4/19/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Brazil,ACTIVE,,2969000,ATC/ME-16253-BR,,USD,MSE-Multilateral Investment Fund II (MIF) -,1000000,1000000,"Friday, December 09, 2022",Not Defined,Yes,INOCAS SOLUCOES EM MEIO AMBIENTE SA,,,,"['silvopastoral', 'value chain']","['productivity', 'smallholder', 'value chain']",[],[],[],[],[],"['productivity', 'silvopastoral', 'smallholder', 'value chain']"
RG-L1119,Support Climate Resilient Investment in Agricultural Sectors in Saint Lucia,The main objective of the project is to strengthen the viability of agri-business operators in the southern region of St. Lucia within the context of climate change.,Non-Sovereign Guaranteed,Loan Operation,8/4/17,11/11/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Regional; Trinidad and Tobago,EXITED,,804000,4257/SX-RG,,USD,SCX-Strategic Climate Fund,804000,241200,"Friday, June 03, 2022",LABORIE CO-OPERATIVE CREDIT UNION LTD.,Yes,LABORIE CO-OPERATIVE CREDIT UNION LTD.,,,,[],[],[],[],[],['cooperative'],['cooperative'],['cooperative']
RG-T2935,PROADAPT - Support Climate Resilient Investment in Agricultural Sectors in Saint Lucia,"The objective of this project is to identify, analyze and develop the four elements of a climate-smart agriculture (CSA) package, which are: i) CSA practices; ii) CSA technologies; iii) a parametric insurance scheme; and iv) to build institutional capacity for the management and implementation of CSA on a sustainable basis.",Non-Sovereign Guaranteed,Technical Cooperation,8/4/17,12/22/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Regional; Trinidad and Tobago,EXITED,C,1052396,ATN/ME-16289-RG,,USD,MSE-Multilateral Investment Fund II (MIF) -,160940,85020,"Thursday, March 05, 2020",Not Defined,Yes,LABORIE CO-OPERATIVE CREDIT UNION LTD.,,,,[],[],[],[],[],[],['cooperative'],['cooperative']
RG-T2935,PROADAPT - Support Climate Resilient Investment in Agricultural Sectors in Saint Lucia,"The objective of this project is to identify, analyze and develop the four elements of a climate-smart agriculture (CSA) package, which are: i) CSA practices; ii) CSA technologies; iii) a parametric insurance scheme; and iv) to build institutional capacity for the management and implementation of CSA on a sustainable basis.",Non-Sovereign Guaranteed,Technical Cooperation,8/4/17,12/22/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Regional; Trinidad and Tobago,EXITED,C,1052396,ATN/NV-16290-RG,,USD,NDV-Nordic Development Fund,200000,125500,"Thursday, March 05, 2020",Not Defined,Yes,LABORIE CO-OPERATIVE CREDIT UNION LTD.,,,,[],[],[],[],[],[],['cooperative'],['cooperative']
RG-T3063,Banking for Climate-Smart Agriculture,"Strengthen the capacity of the IIC Financial Institutions segment (FLI) to provide technical assistance to support and leverage impacts of CSA projects financed by the RG-X1227 CSAF within Central America. The Contribution will allow the IIC to render bankable, innovative, climate-smart investments in Central America it might otherwise be unable to finance, while better ensuring these investments have the technical capacity and expertise to successfully implement CSA projects that reduce vulnerability to climate change, reduce greenhouse gases, conserve biodiversity, and increase sustainable agricultural productivity.",Non-Sovereign Guaranteed,Technical Cooperation,8/4/17,8/4/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Belize; Costa Rica; Dominican Republic; El Salvador; Guatemala; Headquarters; Honduras; Nicaragua; Panama; Regional,EXITED,,2115150,ATN/CF-16316-RG,,USD,COF-Common Account - COFAB,1792500,1750788,"Monday, January 13, 2025",Not Defined,Yes,INTER-AMERICAN INVESTMENT CORPORATION,,,,[],['productivity'],[],[],[],[],[],['productivity']
RG-T3067,Climate Smart Agriculture for Corporates,"Strenghten the capacity of the SMC segment to provide technical assistance and leverage impacts of CSA projects financed by the RG-X1227 CSAF within Central America. The contribution will allow the IIC to render bankable, innovative, climate-smart investments in Central America that it might otherwise be unable to finance, while better ensuring the investments have the technical capacity and expertise to successfully implement CSA projects that reduce vulnerability to climate change, reduce greenhouse gases, conserve biodiversity and increase sustainable agricultural productivity.",Non-Sovereign Guaranteed,Technical Cooperation,8/4/17,8/4/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Belize; Costa Rica; Dominican Republic; El Salvador; Guatemala; Headquarters; Honduras; Nicaragua; Panama; Regional,EXITED,,2115150,ATN/CF-16315-RG,,USD,COF-Common Account - COFAB,1792500,1718247.89,"Thursday, October 31, 2024",Not Defined,Yes,INTER-AMERICAN INVESTMENT CORPORATION,,,,[],['productivity'],[],[],[],[],[],['productivity']
PR-T1203,Support for the Animal Health Services of Paraguay,"The purpose of this Technical Cooperation (TC) is to support the Government of Paraguay in the development of technical, operational and institutional studies for the design, preparation, approval and start of the Animal Health and Productive Diversification Program (PR-L1148).",Sovereign Guaranteed,Technical Cooperation,8/14/17,8/14/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Paraguay,EXITED,C,300000,ATN/AG-16283-PR,,USD,MAG-AgroLAC 2025 Multidonor Trust Fund,300000,297449.5,"Friday, August 16, 2019",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['animal health'],['animal health'],[],[],[],[],[],['animal health']
BR-L1506,Vale do Parana S.A Alcool e Azucar,"The proposed loan of 52% for CAPEX and the remainder for debt refinancing is used as follows: (i) US $ 17MM for the installation of a sugar factory with an estimated cost of US $ 17MM; (Ii) US $ 23MM for the refinancing of part of the Company's CP debt to LP; And (iii) US $ 8MM to make the necessary adjustments to integrate the sugar and ethanol plant with the future cogeneration power plant. As a reference, VDP shareholders plan to invest in the development, construction and operation of a cogeneration power plant through the bagasse with the installed capacity of 40MW to be developed through an SPV.",Non-Sovereign Guaranteed,Loan Operation,9/6/17,2/20/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Brazil,EXITED,,12500000,4218/CH-BR,PSL,USD,CHC-China Co-Financing Fund for Latin Americ,12500000,11704545.45,"Thursday, June 30, 2022",VALE DO PARANA S.A. ALCOOL E ACUCAR,No,VALE DO PARANA S.A. ALCOOL E ACUCAR,4.499750000000000; 5.040000000000000; 5.040000000000000,1900-01-01; 1900-01-01; 2022-05-16,-1438.3; -1438.3; 51.5,[],[],[],[],[],[],[],[]
RG-T3062,Communication for Climate-Smart Agriculture,"The objectives are: (i) supporting networking and business origination activities of IIC SMC agribusiness and IIC FLI investment officers for Climate Smart Agriculture investment opportunities; (ii) Promoting the activities under the USAID Contribution and ensuring knowledge sharing and communication of progress, impacts and results of operations to clients and stakeholders via appropriate communication channels; and (iii) supporting project execution of the USAID Contribution.",Non-Sovereign Guaranteed,Technical Cooperation,9/11/17,9/11/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Belize; Costa Rica; Dominican Republic; El Salvador; Guatemala; Headquarters; Honduras; Nicaragua; Panama; Regional,EXITED,,690000,ATN/CF-16334-RG,,USD,COF-Common Account - COFAB,690000,687400,"Friday, September 27, 2024",Not Defined,Yes,INTER-AMERICAN INVESTMENT CORPORATION,,,,[],[],[],[],[],[],[],[]
RG-T3118,MDB Fees for RG-X1227 “Climate Smart Agriculture Fund”,"In order to assist in the defrayment of the administrative costs in relation to the Contributions to the RG-X1227 ""Climate Smart Agriculture Fund"", both donors agreed to allow the IDB to charge and retain a fee in amounts as stated below: a. Nordic Development Fund (NDF): US$269,170.00, a non-refundable fee equal to 5% of the total Contribution (in accordance with the Administration Agreement between NDF and IDB, Section Transfer and Management of Funds, paragraph 6). b. United States Agency for International Development (USAID): US$225,000.00 (in accordance with the Program Contribution Agreement NO. AID-596-IO-15-00002 between USAID and IDB, Section 9. F.).",Non-Sovereign Guaranteed,Technical Cooperation,9/11/17,9/11/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Belize; Bolivia; Costa Rica; Dominican Republic; Ecuador; El Salvador; Guatemala; Guyana; Haiti; Headquarters; Honduras; Nicaragua; Paraguay; Regional,EXITED,,494170,ADM/CF-16378-RG,,USD,COF-Common Account - COFAB,225000,225000,"Thursday, December 28, 2017",Not Defined,Yes,INTER-AMERICAN INVESTMENT CORPORATION,,,,[],[],[],[],[],[],[],[]
RG-T3118,MDB Fees for RG-X1227 “Climate Smart Agriculture Fund”,"In order to assist in the defrayment of the administrative costs in relation to the Contributions to the RG-X1227 ""Climate Smart Agriculture Fund"", both donors agreed to allow the IDB to charge and retain a fee in amounts as stated below: a. Nordic Development Fund (NDF): US$269,170.00, a non-refundable fee equal to 5% of the total Contribution (in accordance with the Administration Agreement between NDF and IDB, Section Transfer and Management of Funds, paragraph 6). b. United States Agency for International Development (USAID): US$225,000.00 (in accordance with the Program Contribution Agreement NO. AID-596-IO-15-00002 between USAID and IDB, Section 9. F.).",Non-Sovereign Guaranteed,Technical Cooperation,9/11/17,9/11/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Belize; Bolivia; Costa Rica; Dominican Republic; Ecuador; El Salvador; Guatemala; Guyana; Haiti; Headquarters; Honduras; Nicaragua; Paraguay; Regional,EXITED,,494170,ADM/NV-16377-RG,,USD,NDV-Nordic Development Fund,269170,269170,"Thursday, December 28, 2017",Not Defined,Yes,INTER-AMERICAN INVESTMENT CORPORATION,,,,[],[],[],[],[],[],[],[]
HA-T1234,Revitalization of The Cacao and Coffee Sectors in The Grand’Anse Post Hurricane Matthew,"The proposed project seeks to replant and revitalize agricultural clusters of coffee and cocoa which were destroyed by Hurricane Matthew. The project will work with private sector operators to implement a performance-based program to restore agroforestry systems, improve resilience and accelerate rebuilding of communities.",Non-Sovereign Guaranteed,Technical Cooperation,9/13/17,1/1/01,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Haiti,EXITED,C,3172240,ATN/ME-16337-HA,,USD,MSE-Multilateral Investment Fund II (MIF) -,1459370,0,"Wednesday, September 13, 2017",Not Defined,Yes,CATHOLIC RELIEF SERVICES,,,,[],[],[],[],[],[],[],[]
RG-T3115,FONTAGRO's Seed Funds,To facilitate the development and implementation of seed funds for designing regional technical cooperation of major scope.,Sovereign Guaranteed,Technical Cooperation,9/14/17,9/14/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina; Bolivia; Chile; Colombia; Costa Rica; Dominican Republic; Ecuador; Headquarters; Honduras; Nicaragua; Panama; Paraguay; Peru; Regional; Uruguay; Venezuela,EXITED,,120000,ATN/RF-16338-RG,,USD,RFA-Regional Agricultural Fund,310000,253813.27,"Wednesday, December 16, 2020",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
RG-T3116,Innovations for Horticulture in Protected Environments for Tropical Zones,Contribute to generation of innovations for sustainable intensification of horticulture in protected environments,Sovereign Guaranteed,Technical Cooperation,9/14/17,11/16/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Colombia; Costa Rica; Dominican Republic; Headquarters; Panama; Regional,EXITED,,1645631,ATN/RF-16343-RG,,USD,RFA-Regional Agricultural Fund,400000,357740.74,"Wednesday, December 21, 2022",Not Defined,Yes,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA,,,,[],['sustainable intensification'],[],[],[],[],[],['sustainable intensification']
EC-T1381,Support to Oleana’s Palm Oil Supply Chain,"A) to support Oleana's palm oil providers in order to obtain their RSPO certification by helping them to reach some requirements for the certification such as environmental studies, trainings, implementation programs, audits, management plans for their farms
 

 B) to improve small farmers´ palm productivity through the provision of tailored agricultural advice via mobile phones.",Non-Sovereign Guaranteed,Technical Cooperation,9/15/17,9/15/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Ecuador,EXITED,,1000000,ATN/MC-16357-EC,,USD,MSC-Sustainable Energy and Climate Change In,400000,372083.94,"Tuesday, July 05, 2022",Not Defined,Yes,INTER-AMERICAN INVESTMENT CORPORATION,,,,[],['productivity'],[],[],[],[],[],['productivity']
RG-T3073,"Agricultural Policy, Fisheries and Climate Change Analysis in Latin America and the Caribbean","The objective of the Technical Cooperation (TC) is to contribute to sustainable development by generating policy recommendations for a more efficient allocation of fiscal resources in agricultural and fisheries sectors in selected Latin America and the Caribbean (LAC) countries. Specifically, it will focus on analyzing the current structure and levels of policy support to these sectors to identify forms of support that are the most efficient and consistent with economic, social and environmental goals.",Sovereign Guaranteed,Technical Cooperation,9/28/17,9/28/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Bolivia; Chile; Colombia; Guyana; Headquarters; Jamaica; Mexico; Peru; Regional; Suriname,EXITED,C,350000,ATN/OC-16365-RG,,USD,ORC-Ordinary Capital,350000,349413.7,"Monday, December 13, 2021",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['policy'],['policy'],[],['policy'],[],[],[],['policy']
BR-T1370,Strengthening of Plant and Animal Health and Food Safety Services,"The objective of the TC is to strengthen the capacities of the animal and plant health and food safety services in Brazil in order to improve access to export markets and the quality of food consumed in the country. For this, technical, operational and institutional studies will be needed, which requires national and international consultancies that provide experience and technical knowledge. These studies will be the basis for a solid technical dialogue with government authorities and other relevant stakeholders about the weaknesses and challenges faced by the animal and plant health and food safety services, the risks and negative effects on the competitiveness of the Brazilian agricultural sector, and the priority investments and other interventions.",Sovereign Guaranteed,Technical Cooperation,10/11/17,1/22/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Brazil,EXITED,C,750000,ATN/AG-16391-BR,,USD,MAG-AgroLAC 2025 Multidonor Trust Fund,500000,437245.07,"Friday, November 13, 2020",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['animal health'],[],[],[],[],[],[],['animal health']
BL-T1094,Improving Livestock Sector Productivity and Climate Resilience in Belize,"The main objective of this project is to improve the productivity of the livestock sector in Belize through the promotion of pasture intensification, while at the same time addressing the low capacity for adaptation to climate change of especially small and medium-sized producers. Rapid growth in Belizean livestock, in response to growing demand in the tourism sector as well as in domestic and international markets, has resulted in the opening up of new pastureland in order to meet nutrient requirements of herds largely dependent on natural pastures with low feed supplementation and water conservation strategies in place. Any efforts for the sustainable intensification of livestock production in Belize, must consider the challenges that climate change poses, not only for productivity, but also with respect to ecosystems. This critically requires building the capacity of all producers to adapt in order to build climate change resiliency and to reduce environmental impacts such as deforestation, soil degradation and unsustainable water consumption.",Non-Sovereign Guaranteed,Technical Cooperation,10/13/17,10/31/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Belize,EXITED,B,875700,ATN/ME-16402-BL,,USD,MSE-Multilateral Investment Fund II (MIF) -,550500,489505.11,"Tuesday, September 13, 2022",Not Defined,No,Belize Livestock Producers Association,,,,"['livestock', 'productivity']","['feed', 'livestock', 'pasture', 'productivity', 'sustainable intensification']",[],[],[],[],"['association', 'livestock']","['association', 'feed', 'livestock', 'pasture', 'productivity', 'sustainable intensification']"
SU-T1103,Agribusiness Knowledge Exchange Program,"The purpose of the study tour is to:
 i) Allow officials from the Governments of Suriname to visit the INTA, or Instituto Nacional de Tecnologia Agropecuaria), 
 ii) Visit successful projects and SMES in Argentina working with technologies and agribusiness, or in areas of the economy, that could benefit or have potential in insular economies and the business environment of CCB Countries.",Sovereign Guaranteed,Technical Cooperation,10/18/17,10/18/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Suriname,EXITED,,12852,ATN/OC-16404-SU,,USD,ORC-Ordinary Capital,12852,12852,"Friday, December 08, 2017",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
JA-T1150,Agribusiness Knowledge Exchange Program,To promote an intra-regional knowledge exchange among the countries of the Caribbean Country Department conducive to an expanded understanding of private sector new developments in small and medium sized companies in the agribusiness sector and the transformative power of technology.,Sovereign Guaranteed,Technical Cooperation,10/20/17,10/20/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Jamaica,EXITED,,19536,ATN/OC-16417-JA,,USD,ORC-Ordinary Capital,19536,19084.77,"Friday, December 08, 2017",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
GY-T1146,Agribusiness Knowledge Exchange Program,To promote an intra-regional knowledge exchange among the countries of the Caribbean Department conducive to an expanded understanding of private sector new developments in small and medium sized companies in the agribusiness sector and the transformative power of technology.,Sovereign Guaranteed,Technical Cooperation,10/23/17,10/23/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Guyana,EXITED,,14352,ATN/OC-16422-GY,,USD,ORC-Ordinary Capital,14352,11480.34,"Tuesday, January 16, 2018",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
BA-T1052,Agribusiness Knowledge Exchange Program,To promote an intra-regional knowledge exchange among the countries of the Caribbean Country Department conducive to an expanded understanding of new private sector developments in small and medium sized companies in the agribusiness sector and the transformative power of technology.,Sovereign Guaranteed,Technical Cooperation,10/26/17,10/26/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Barbados,EXITED,,9568,ATN/OC-16430-BA,,USD,ORC-Ordinary Capital,9568,5373.19,"Tuesday, January 16, 2018",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
PE-L1233,Increasing Sustainable Competitiveness of Avocado in Huancavelica y Ayacucho,"Increase incomes of small-scale avocado producers through improvements in productivity, quality, access to markets and access to finance.",Non-Sovereign Guaranteed,Loan Operation,10/26/17,12/18/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Peru,EXITED,B13,950000,SP/ES-17-22-PE,,USD,FEP-Spanish Fund for the Entrepreneurship Pr,750000,600000,"Tuesday, May 21, 2019",COOPERATIVA DE AHORRO Y CRÉDITO FONDESURCO,Yes,COOPERATIVA DE AHORRO Y CRÉDITO FONDESURCO,9.250000000000000; 10.000000000000000,1900-01-01; 1900-01-01,-1436.2; -1436.2,[],['productivity'],[],[],[],[],[],['productivity']
PE-T1379,Increasing Sustainable Competitiveness of Avocado in Huancavelica y Ayacucho,"Increase incomes of small-scale avocado producers through improvements in productivity, quality, access to markets and access to credit.",Non-Sovereign Guaranteed,Technical Cooperation,10/26/17,12/18/17,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Peru,EXITED,,387503,ATN/CF-16439-PE,,USD,COF-Common Account - COFAB,250000,250000,"Thursday, June 10, 2021",Not Defined,No,Asociación Centro de Estudios y Promoción del Desarrollo Andino Amazónico,,,,[],['productivity'],[],[],[],[],[],['productivity']
HA-G1038,Agricultural and Agroforestry Technological Innovation Program - PITAG,The general objectives of the Program are to increase agricultural income and food security for smallholder farmers in selected areas of Haiti. The specific objectives are to increase agricultural productivity and improve the use of natural capital through the adoption of sustainable technologies.,Sovereign Guaranteed,Investment Grants,11/1/17,1/11/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Haiti,EXITED,B,10000000,GRT/GA-16490-HA,,USD,GAF-Global Agricultural Food Security,10000000,9999386.59,"Tuesday, November 14, 2023",Not Defined,Yes,MINISTERE DE L AGRICULTURE DES RESOURCES NATURELLES ET DU DEVELOPPEMENT RURAL,,,,[],"['productivity', 'smallholder']",[],[],[],[],[],"['productivity', 'smallholder']"
HA-L1107,Agricultural and Agroforestry Technological Innovation Program - PITAG,The general objectives of the Program are to increase agricultural income and food security for smallholder farmers in selected areas of Haiti. The specific objectives are to increase agricultural productivity and improve the use of natural capital through the adoption of sustainable technologies.,Sovereign Guaranteed,Grant Financing Product,11/1/17,1/11/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Haiti,EXITED,B,76859305,4359/GR-HA,ESP,USD,GRF-IDB Grant Facility Account,55000000,54305327.1,"Tuesday, May 06, 2025",MINISTERE DE L ECONOMIE ET DES FINANCES,Yes,MINISTERE DE L AGRICULTURE DES RESOURCES NATURELLES ET DU DEVELOPPEMENT RURAL,,,,[],"['productivity', 'smallholder']",['grant'],[],['grant'],[],[],"['grant', 'productivity', 'smallholder']"
