"Methedology:
1. Open IDB website
2. Click on 'Projects'
3. Scroll down and click on 'Download Project Information (.xlsx)'
4. Apply following filters: 
            - Sector: AGRICULTURE AND RURAL DEVELOPMENT 
            - Approval date: 01/01/2015-12/31/2025
5. Click three buttons > Export data ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Keywords Found in Unnamed: 1,Keywords Found in Unnamed: 2,Keywords Found in Unnamed: 22,Keywords Found (Any Column)
HA-L1107,Agricultural and Agroforestry Technological Innovation Program - PITAG,The general objectives of the Program are to increase agricultural income and food security for smallholder farmers in selected areas of Haiti. The specific objectives are to increase agricultural productivity and improve the use of natural capital through the adoption of sustainable technologies.,Sovereign Guaranteed,Grant Financing Product,11/1/17,1/11/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Haiti,EXITED,B,76859305,4359/GR-HA,ESP,USD,GRF-IDB Grant Facility Account,55000000,54305327.1,"Tuesday, May 06, 2025",MINISTERE DE L ECONOMIE ET DES FINANCES,Yes,MINISTERE DE L AGRICULTURE DES RESOURCES NATURELLES ET DU DEVELOPPEMENT RURAL,,,,[],['smallholder'],[],['smallholder']
CO-T1463,Sustainable Dairy Value Chain in Caquetá,"The objective of this project is to foster livestock reconversion processes through Intensive Silvopastoral Systems (SSPi) and conservation areas, as well as high-quality dairy products with better marketing and marketing capabilities of the brand with Caqueta's designation of origin, impacting In a positive way the economic conditions of the producers.",Non-Sovereign Guaranteed,Technical Cooperation,11/5/17,12/22/17,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Colombia,EXITED,C,800000,ATN/AG-16464-CO,,USD,MAG-AgroLAC 2025 Multidonor Trust Fund,400000,400000,"Wednesday, August 07, 2019",Not Defined,No,CENTRO PARA LA INVESTIGACIO SISTEMAS SOSTENIBLES DE PRODUCCION AGROPECUARIA CIPAV,,,,['dairy'],"['dairy', 'livestock', 'silvopastoral']",[],"['dairy', 'livestock', 'silvopastoral']"
BR-L1494,"A New Model for Cattle Ranching in Brazil: PECSA’s Sustainable, Deforestation-free Beef in the Amazon Region","Pecsa, a sustainable cattle ranching B-corp operating in the Brazilian Amazon, is a growth stage startup which have been a reference for a new cycle of cattle ranching in the country (and in the region), by working with medium-sized producers to both significantly increase their productivity levels (up to x5) and implement best-in-class sustainable cattle intensification and CSA practices (up to 90% GHG emissions per KG produced), all that at market rates of return. PECSA is seeking USD 6m in debt to transition from its current experimental stage to a commercial operation, with enhanced impact along the beef value chain.",Non-Sovereign Guaranteed,Loan Operation,11/15/17,1/1/01,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Brazil,EXITED,C,4250000,4380/MS-BR,,USD,MSF-MIF-Small Enterprise Investment Fund,2500000,0,"Wednesday, November 15, 2017",PECUÁRIA SUSTENTÁVEL DA AMAZÔNIA,No,PECUÁRIA SUSTENTÁVEL DA AMAZÔNIA,,,,"['beef', 'cattle']","['beef', 'cattle']",[],"['beef', 'cattle']"
SU-T1101,Support for the Preparation and Starting Stage of the Sustainable Agricultural Productivity Program,"To provide support to the Government of Suriname and the Ministry of Agriculture Animal Husbandry and Fisheries (LVV) in the preparation of technical economical, institutional and environmental studies required for the loan processing and approval; and for developing the LVV Agricultural Strategic Plan.",Sovereign Guaranteed,Technical Cooperation,12/8/17,12/8/17,AGRICULTURE AND RURAL DEVELOPMENT,IRRIGATION AND DRAINAGE,Suriname,EXITED,B,400000,ATN/AG-16562-SU,,USD,MAG-AgroLAC 2025 Multidonor Trust Fund,400000,218514.46,"Wednesday, December 05, 2018",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],"['animal husbandry', 'processing']",[],"['animal husbandry', 'processing']"
UR-T1163,Sustainable and Competitive Agriculture Resilient to Climate Change,"Support to the Ministry of Livestock, Agriculture and Fisheries of Uruguay (MGAP) with studies that facilitate the preparation of a financing operation by the bank for the Rural Productive Development Program II (UR-L1147)",Sovereign Guaranteed,Technical Cooperation,3/23/18,3/23/18,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Uruguay,EXITED,C,200000,ATN/OC-16667-UR,,USD,ORC-Ordinary Capital,200000,195614.9,"Thursday, September 23, 2021",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['livestock'],[],['livestock']
RG-T3181,Innovation and intensification for the adaptation to climate change of extensive family farming,"1. Socialization of the project among selected farmers in Argentina, Peru and Venezuela. 2. Development and validation of technical innovations to increase resilience and adaptability in pastoral systems. 3. Knowledge management through communities of practices. 4. Institutional strengthening of the strategic alliance.",Sovereign Guaranteed,Technical Cooperation,4/5/18,7/2/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina; Headquarters; Peru; Regional; Venezuela,EXITED,,1020791,ATN/RF-16680-RG,,USD,RFA-Regional Agricultural Fund,300000,300000,"Thursday, June 01, 2023",Not Defined,Yes,FUNDACION ARGENINTA,,,,[],['pastoral'],[],['pastoral']
PR-L1148,Project to Improve and Expand Animal Health Services in Paraguay,"The program's general objective is to help improve the productivity of the livestock sector.The specific objectives are to: (i) improve the effectiveness of animal health services with a risk management approach;and (ii) expand the coverage of veterinary services, including for smaller species.",Sovereign Guaranteed,Loan Operation,5/9/18,11/9/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Paraguay,ACTIVE,B,15000000,4526/OC-PR,ESP,USD,ORC-Ordinary Capital,15000000,9600759.83,"Tuesday, July 01, 2025",SERVICIO NACIONAL DE CALIDAD Y SALUD ANIMAL,No,SERVICIO NACIONAL DE CALIDAD Y SALUD ANIMAL,1.101639340000000; 5.558616000000000; 5.966653370000000,2042-09-15; 2042-09-15; 2042-09-15,290.39999999999998; 290.39999999999998; 290.39999999999998,['animal health'],"['animal health', 'livestock', 'veterinary', 'veterinary services']",[],"['animal health', 'livestock', 'veterinary', 'veterinary services']"
HA-G1041,IFAD Cofinancing to HA-L1107 - Agricultural and Agroforestry Technological Innovation Program - PITAG,The general objectives of the Program are to increase agricultural income and food security for smallholder farmers in selected areas of Haiti. The specific objectives are to increase agricultural productivity and improve the use of natural capital through the adoption of sustainable technologies.,Sovereign Guaranteed,Investment Grants,6/22/18,7/23/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Haiti,EXITED,B,10859305,GRT/CF-16814-HA,,USD,COF-Common Account - COFAB,10859305,10240969.69,"Wednesday, March 12, 2025",Not Defined,Yes,MINISTERE DE L AGRICULTURE DES RESOURCES NATURELLES ET DU DEVELOPPEMENT RURAL,,,,[],['smallholder'],[],['smallholder']
EC-T1402,Knowledge Exchange for the Development of Farmer Registry and Agricultural Census,The objective of this operation is to strengthen technical capacities of personnel in the Ministry of Agriculture and Livestock (MAG) of Ecuador in the implementation of Agricultural Census and Farmer Registry through knowledge exchange to acquire best practices and lessons learned in two countries of Latin American Region. These tools will be indispensable for efficient and assertive agricultural policy making.,Sovereign Guaranteed,Technical Cooperation,9/11/18,9/11/18,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Ecuador,EXITED,,12490,ATN/OC-16915-EC,,USD,ORC-Ordinary Capital,12490,12490,"Monday, September 24, 2018",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['livestock'],[],['livestock']
RG-T3327,Sustainable Intensification of Livestock Systems with Legumes: Latin America and Caribbean Cooperation Platform,Contribute to the improvement of livestock systems in Latina America and the Caribbean through the adoption of forage legumes.,Sovereign Guaranteed,Technical Cooperation,9/18/18,3/8/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina; Chile; Dominican Republic; Ecuador; Headquarters; Nicaragua; Paraguay; Regional; Uruguay,ACTIVE,C,1794499,ATN/RF-16926-RG,,USD,RFA-Regional Agricultural Fund,305000,184333.14,"Thursday, May 29, 2025",Not Defined,Yes,FUNDACION ARGENINTA,,,,['livestock'],"['forage', 'livestock']",[],"['forage', 'livestock']"
RG-T3327,Sustainable Intensification of Livestock Systems with Legumes: Latin America and Caribbean Cooperation Platform,Contribute to the improvement of livestock systems in Latina America and the Caribbean through the adoption of forage legumes.,Sovereign Guaranteed,Technical Cooperation,9/18/18,3/8/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina; Chile; Dominican Republic; Ecuador; Headquarters; Nicaragua; Paraguay; Regional; Uruguay,ACTIVE,C,1794499,ATN/RF-16927-RG,,USD,RFA-Regional Agricultural Fund,68378.41,55360.21,"Tuesday, June 03, 2025",Not Defined,Yes,FUNDACION ARGENINTA,,,,['livestock'],"['forage', 'livestock']",[],"['forage', 'livestock']"
ME-T1382,Linking Small Producers of Native Maize to Specialty Culinary Markets,"The objective is to support a group of farmers and experts that will provide the collective ability to the small farmers to reach the markets that are demanding the product that they have carefully conserved through continued selection and cultivation. A major activity is to form a collective trademark, to differentiate native maize from hybrid maize, as well as to differentiate maize produced by smallholder farmers growing the traditional maize of their areas and to ensure that the price paid values the quality and rarity of their product.",Non-Sovereign Guaranteed,Technical Cooperation,10/11/18,4/11/19,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Mexico,EXITED,C,1988362,ATN/ME-16973-ME,,USD,MSE-Multilateral Investment Fund II (MIF) -,1002000,0,"Thursday, October 11, 2018",Not Defined,No,FIDEICOMISO FONDO PARA LA BIODIVERSIDAD (FFB) - CONABIO,,,,[],['smallholder'],[],['smallholder']
DR-L1133,Financing for the Sustainable Expansion of Dairy Production in the Dominican,"Support the growth and consolidation of the dairy industry through a loan to COOPESUR, a cooperative of small producers, that will allow it to expand its productive and commercial infrastructure (and that of its partner organizations), specifically new machinery, equipment and civil works and to introduce UHT technology.",Non-Sovereign Guaranteed,Loan Operation,10/23/18,6/7/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Dominican Republic,EXITED,C,5050000,SP/OC-18-29-DR,,USD,ORC-Ordinary Capital,1000000,1000000,"Tuesday, March 11, 2025",COOPESUR,Yes,COOPESUR,5,2027-03-05,94.3,['dairy'],['dairy'],[],['dairy']
DR-T1182,Financing for the Sustainable Expansion of Dairy Production in the Dominican,"Support the growth and consolidation of the dairy industry through a loan to COOPESUR, a cooperative of small producers, that will allow it to expand its productive and commercial infrastructure (and that of its partner organizations), specifically new machinery, equipment and civil works and to introduce UHT technology.",Non-Sovereign Guaranteed,Technical Cooperation,10/23/18,6/7/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Dominican Republic,EXITED,C,484500,ATN/OC-16996-DR,,USD,ORC-Ordinary Capital,250000,213317.75,"Thursday, November 30, 2023",Not Defined,Yes,COOPESUR,,,,['dairy'],['dairy'],[],['dairy']
ME-T1385,Project Margarita: A Sustainable Milk Supply Strategy to Improve the Quality of Life in Jalisco,"Support dairy producers in Jalisco to increase their productivity and climate resilience, as well as access to better markets, through the use of disruptive technology and the development of a multi-buyer corporate platform.",Non-Sovereign Guaranteed,Technical Cooperation,11/26/18,2/25/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Mexico,EXITED,C,3717938,ATN/ME-17088-ME,,USD,MSE-Multilateral Investment Fund II (MIF) -,1305000,1269751.35,"Tuesday, June 28, 2022",Not Defined,No,Plataforma NUUP,,,,['milk'],['dairy'],[],"['dairy', 'milk']"
HO-T1313,Chocolate-4-All: Digitizing the Cocoa Value Chain in Honduras,"The project addresses last mile challenges by delivering products and services to small-scale cocoa producers who have been excluded from productivity enhancing innovations related to biotechnology, mechanization, and digital financial services. Chocolate-4-All will put these technologies to use on small-scale farms where they have the potential to increase yields and open new market channels. The project will deliver services to 1,200 smallholder cocoa farmers in Honduras, organized into four cooperatives/associations located in the department of Olancho.",Non-Sovereign Guaranteed,Technical Cooperation,11/28/18,4/8/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Honduras,EXITED,C,3400000,ATN/ME-17113-HO,,USD,MSE-Multilateral Investment Fund II (MIF) -,1700000,1700000,"Friday, May 27, 2022",Not Defined,Yes,PROYECTO HEIFER INTERNACIONAL,,,,[],['smallholder'],[],['smallholder']
EC-T1388,Support to the Implementation of the National Plan for Irrigation and Drainage,"Support the Secretariat of Water (SENAGUA) in elaborating specific studies included in the current National Plan for Irrigation and Drainage 2019-2027 as a tool to increase the productivity of small and medium farmers, reduce poverty and decrease inequality levels in access to irrigation water, as well as to generate a sustainable use of water resources as a mechanism for climate change adaptation. The specific objectives are: (i) evaluate the condition of existing infrastructure and determine the investment requirements in evaluated systems; (ii) determine potentially suitable areas for agriculture within flood zones to establish a prioritizing program of agricultural drainage; (iii) assess the social and organizational situation of water users and adjust the corresponding management models; (iv) analyze the dynamics of agricultural production of farmers around areas influenced by the irrigation systems under study and develop strategies to increase productivity and income of small and medium farmers; (v) analyze irrigation water quality and establish strategies for water source conservation and sustainable use as a mechanism for climate change adaptation; and (vi) strengthen institutional capacities and coordination mechanisms between actors responsible of irrigation and drainage management (SENAGUA, local governments, Ministry of Agriculture and Livestock, Ministry of Environment, Water users organization).",Sovereign Guaranteed,Technical Cooperation,12/3/18,5/28/19,AGRICULTURE AND RURAL DEVELOPMENT,IRRIGATION AND DRAINAGE,Ecuador,EXITED,C,428863.12,ATN/OC-17127-EC,,USD,ORC-Ordinary Capital,400000,177866.04,"Friday, July 23, 2021",Not Defined,No,Not Defined,,,,[],['livestock'],[],['livestock']
CO-G1011,Promotion of Innovative Strategies for Sustainable Rural Development and Environmental Conservation,"The objective is to implement sustainable productive associative projects (agricultural, livestock, forestry, fishing and aquaculture) and sustainable businesses, already structured, whose purpose is the promotion of resilient and low carbon rural development in Caquetá, Putumayo and Nariño.",Sovereign Guaranteed,Investment Grants,3/18/19,5/8/19,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia,EXITED,B13,3516000,GRT/CM-17262-CO,,USD,COL-Sustainable Colombia Facility,2216000,2203352.79,"Wednesday, October 04, 2023",Not Defined,Yes,FONDO COLOMBIA EN PAZ,,,,[],['livestock'],[],['livestock']
CO-T1497,Coordination and Implementation of the Joint Declaration of Intent (JDI),The purpose of this TC is to support the Government of Colombia in meeting the milestones established by the Joint Declaration of Intent (DCI). It will be achieved through (i) formulation of a comprehensive national program for livestock transformation to promote productive and environmental practice; (ii) support the implementation of the zero deforestation agreements and public-private partnership for zero deforestation; and (iii) coordination of the DCI within the Environmental Ministry.,Sovereign Guaranteed,Technical Cooperation,3/20/19,9/13/19,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia,EXITED,C,1215409,ATN/CM-17268-CO,,USD,COL-Sustainable Colombia Facility,1137766,1127434.72,"Thursday, June 16, 2022",Not Defined,Yes,CENTRO INTERNACIONAL DE AGRICULTURA TROPICAL,,,,[],['livestock'],[],['livestock']
PE-L1249,Financing for the Sustainable Production of Alpaca Fiber in Peru,The objective of this project is to provide financing to small alpaca producers so that they may implement climate smart practices in their farms. The project also seeks to add a digital platform to improve the capacity of the cooperative to trace the alpaca fiber.,Non-Sovereign Guaranteed,Loan Operation,7/11/19,9/30/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Peru,EXITED,,2800000,4831/MS-PE,,USD,MSF-MIF-Small Enterprise Investment Fund,2800000,2100000,"Friday, February 28, 2025",COOPERATIVA DE PRODUCCION Y SERVICIOS DE LOS PRODUCTORES DE CAMELIDOS ANDINOS,Yes,COOPERATIVA DE PRODUCCION Y SERVICIOS DE LOS PRODUCTORES DE CAMELIDOS ANDINOS,5.000000000000000; 5.000000000000000,2028-09-05; 2023-03-06,108.8; 41.799999999999997,['alpaca'],['alpaca'],[],['alpaca']
PE-T1422,Financing for the Sustainable Production of Alpaca Fiber in Peru,The objective of this project is to provide financing to small alpaca producers so that they may implement climate smart practices in their farms. The project also seeks to add a digital platform to improve the capacity of the cooperative to trace the alpaca fiber.,Non-Sovereign Guaranteed,Technical Cooperation,7/11/19,9/30/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Peru,EXITED,C,2860000,ATN/ME-17449-PE,,USD,MSE-Multilateral Investment Fund II (MIF) -,986000,957571.92,"Monday, February 12, 2024",Not Defined,Yes,COOPERATIVA DE PRODUCCION Y SERVICIOS DE LOS PRODUCTORES DE CAMELIDOS ANDINOS,,,,['alpaca'],['alpaca'],[],['alpaca']
PR-T1282,Listening to the Plants Needs,The objective of the project is to test a smart irrigation solution for smallholder horticulture farmers in Paraguay.,Non-Sovereign Guaranteed,Technical Cooperation,8/14/19,8/14/19,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Paraguay,EXITED,C,235000,ATN/ME-17518-PR,,USD,MSE-Multilateral Investment Fund II (MIF) -,150000,150000,"Thursday, August 04, 2022",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['smallholder'],[],['smallholder']
RG-T3431,Assessment of the Regulatory and Institutional Framework for Gene-editing via CRISPR-based Technologies in Latin America and the Caribbean,"The main objective of this TC is to provide guidance for national agencies of the countries members of the Bank responsible for biotechnology applied to the agriculture sector to bridge existing agricultural biotechnology policy to explicitly address gene-editing in regulatory development and/or updates. We will create the first specialized report on gene-editing in agriculture for the LAC region, outlining explicit roadmaps with decision break points to guide agencies considering the socio-economic, competitiveness, and trade implications of regulatory updates.",Sovereign Guaranteed,Technical Cooperation,8/15/19,8/15/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL POLICY,Argentina; Bolivia; Brazil; Honduras; Mexico; Paraguay; Peru; Regional; Uruguay,EXITED,C,600000,ATN/OC-17516-RG,,USD,ORC-Ordinary Capital,600000,508249.53,"Wednesday, June 21, 2023",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,"['CRISPR', 'gene editing']",['gene editing'],[],"['CRISPR', 'gene editing']"
UR-T1218,Establishment of the First Open Agricultural Laboratory for a Climate Smart Forestry Sector in Latin America and the Caribbean,"The objective of this project is to transfer the technology and knowledge developed by the Open Ag, establishing a mirror laboratory (initially focused on the forestry sector). that allows to make a selection of genetic materials that are resilient to climate change, and make a more efficient use of different inputs and, therefore, increase their productivity.",Non-Sovereign Guaranteed,Technical Cooperation,8/28/19,1/1/01,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Uruguay,EXITED,C,2647812,ATN/ME-17535-UR,,USD,MSE-Multilateral Investment Fund II (MIF) -,1300000,0,"Wednesday, August 28, 2019",Not Defined,Yes,INSTITUTO NACIONAL DE INVESTIGACION AGROPECUARIA,,,,[],['genetic'],[],['genetic']
RG-T3599,Climate Smart Agriculture for Agribusinesses and their Value Chain in Latin America and the Caribbean,"The objective of this AS is to support LAC agribusinesses in the implementation of climate smart agriculture (CSA) measures. CSA pursues the triple objectives of sustainably increasing productivity and incomes, adapting to climate change and reducing greenhouse gas emissions where possible. This AS will address key barriers for climate smart investments by i) increasing awareness, knowledge and capacity on sustainable practices along the value chain of agribusinesses, and ii) identifying opportunities, designing and planning investments in climate smart agriculture in order to foster more efficient and resilient food production systems.",Non-Sovereign Guaranteed,Technical Cooperation,5/8/20,5/8/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Argentina; Bahamas; Barbados; Belize; Bolivia; Brazil; Chile; Colombia; Costa Rica; Dominican Republic; Ecuador; El Salvador; Guatemala; Guyana; Haiti; Headquarters; Honduras; Jamaica; Mexico; Nicaragua; Panama; Paraguay; Peru; Regional; Suriname; Trinidad and Tobago; Uruguay; Venezuela,ACTIVE,,400000,ATN/MC-17979-RG,,USD,MSC-Sustainable Energy and Climate Change In,400000,205519.9,"Thursday, July 10, 2025",Not Defined,Yes,INTER-AMERICAN INVESTMENT CORPORATION,,,,[],['greenhouse gas'],[],['greenhouse gas']
RG-T3587,AGTECH for Climately Smart Dairy,Generate new capacities for the Latin American and Caribbean dairy producer sector (LAC) to implement sustainable management processes to achieve Climate-Smart Dairy Establishments (ELCI).,Sovereign Guaranteed,Technical Cooperation,7/8/20,9/15/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Argentina; Costa Rica; Dominican Republic; Headquarters; Honduras; Regional; Uruguay,ACTIVE,C,540900,ATN/RF-18078-RG,,USD,RFA-Regional Agricultural Fund,180000,180000,"Monday, August 19, 2024",Not Defined,Yes,FUNDACION ARGENINTA,,,,['dairy'],['dairy'],[],['dairy']
RG-T3588,Innovation for Pasture Management,"Improve the self-sufficiency and sustainability of livestock intensification by increasing at least 30% of the pasture harvest, produced on family farms in the Southern Cone and Central America.",Sovereign Guaranteed,Technical Cooperation,7/8/20,9/9/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Argentina; Costa Rica; Headquarters; Regional; Uruguay,ACTIVE,C,512940,ATN/RF-18077-RG,,USD,RFA-Regional Agricultural Fund,200000,188690.66,"Wednesday, October 02, 2024",Not Defined,Yes,INSTITUTO NACIONAL DE INVESTIGACION AGROPECUARIA,,,,['pasture'],"['livestock', 'pasture']",[],"['livestock', 'pasture']"
RG-T3583,Multipurpose Silvopastoral Systems and Family Livestock in Peru and Colombia,Improvement in family livestock productivity in Peru and Colombia through the implementation of multi-purpose silvopastoral systems with validated environmental sustainability.,Sovereign Guaranteed,Technical Cooperation,7/14/20,8/10/20,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL TECHNOLOGY ADOPTION,Colombia; Headquarters; Peru; Regional,EXITED,C,600000,ATN/RF-18106-RG,,USD,RFA-Regional Agricultural Fund,200000,0,"Tuesday, July 14, 2020",Not Defined,No,UNIVERSIDAD AGRARIA,,,,"['livestock', 'silvopastoral']","['livestock', 'silvopastoral']",[],"['livestock', 'silvopastoral']"
RG-G1035,"Financing Agrobusiness and Cooperatives response to COVID-19 in Central America, Colombia, Mexico and Peru","Pilot the SIINC model to strengthen the livelihoods of smallholder farmers in Central America, Colombia, Mexico and Peru by closing the financing gap for high-impact early stage agricultural SGBs",Non-Sovereign Guaranteed,Investment Grants,11/5/20,12/17/20,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia; Costa Rica; Guatemala; Honduras; Mexico; Nicaragua; Peru; Regional,EXITED,B,700000,GRC/ME-18319-RG,,USD,MSE-Multilateral Investment Fund II (MIF) -,500000,500000,"Tuesday, July 19, 2022",Not Defined,Yes,ROOT CAPITAL,,,,[],['smallholder'],[],['smallholder']
RG-G1035,"Financing Agrobusiness and Cooperatives response to COVID-19 in Central America, Colombia, Mexico and Peru","Pilot the SIINC model to strengthen the livelihoods of smallholder farmers in Central America, Colombia, Mexico and Peru by closing the financing gap for high-impact early stage agricultural SGBs",Non-Sovereign Guaranteed,Investment Grants,11/5/20,12/17/20,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia; Costa Rica; Guatemala; Honduras; Mexico; Nicaragua; Peru; Regional,EXITED,B,700000,GRT/ME-18320-RG,,USD,MSE-Multilateral Investment Fund II (MIF) -,200000,200000,"Monday, December 06, 2021",Not Defined,Yes,ROOT CAPITAL,,,,[],['smallholder'],[],['smallholder']
RG-T3772,"Financing Agrobusiness and Cooperatives response to COVID-19 in Central America, Colombia, Mexico and Peru","Pilot the SIINC model to strengthen the livelihoods of smallholder farmers in Central America, Colombia, Mexico and Peru by closing the financing gap for high-impact early stage agricultural SGBs",Non-Sovereign Guaranteed,Technical Cooperation,11/5/20,12/17/20,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Colombia; Costa Rica; Guatemala; Honduras; Mexico; Nicaragua; Peru; Regional,EXITED,,150000,ATN/ME-18326-RG,,USD,MSE-Multilateral Investment Fund II (MIF) -,150000,150000,"Tuesday, March 28, 2023",Not Defined,Yes,ROOT CAPITAL,,,,[],['smallholder'],[],['smallholder']
PN-T1261,Post-COVID Economic Recovery for Indigenous Coffee Producers,The objective of the project is to increase the income of indigenous coffee producers in the post COVID economic recovery context by strengthening coffee production through sustainable and climate resilient agroforestry systems and improving processing and sales of coffee through novel indigenous - private sector partnerships.,Sovereign Guaranteed,Technical Cooperation,11/17/20,12/29/20,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Panama,ACTIVE,C,974000,ATN/JO-18345-PN,,USD,JPO-Japan Poverty Reduction Program,600000,599995.28,"Thursday, December 05, 2024",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['processing'],[],['processing']
PE-L1260,Peruvian Amazon Chestnut for the World,"The project proposes the use of traceability and processing technologies to raise the level of quality and competitiveness at all stages of the value chain (collection, processing and marketing), implemented by an alliance between an organization of producers and gatherers, and a leading exporter company in the chestnut sector in Peru.",Non-Sovereign Guaranteed,Loan Operation,12/1/20,3/24/21,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Peru,EXITED,B,1330000,SP/OC-20-37-PE,,USD,ORC-Ordinary Capital,1000000,800000,"Thursday, June 05, 2025",RCR COMERCIALIZADORA Y PROCESADORA SOCIEDAD ANONIMA CERRADA,Yes,RCR COMERCIALIZADORA Y PROCESADORA SOCIEDAD ANONIMA CERRADA,5.000000000000000; 5.000000000000000,2029-09-05; 2029-03-05,102.90000000000001; 96.799999999999997,[],['processing'],[],['processing']
PE-T1450,Peruvian Amazon Chestnut for the World,"The solution is an opportunity for the IDB Lab to contribute to the chestnut sector in Peru at a critical moment that will change the direction of exports in the future. The project proposes the use of traceability and processing technologies to raise the level of quality and competitiveness at all stages of the value chain (collection, processing and marketing), implemented by an alliance between an organization of producers and gatherers, and a leading exporter company in the chestnut sector in Peru. In the gathering stage, emphasis will be placed on obtaining the data and information on the chestnut tree, the area where it is found, the owner of the chestnut tree, and good practices for collecting walnut. In its capacity to organize producers and gatherers, RONAP (Organic Collectors of the Peruvian Amazon Nut) proposes to improve the productivity of its chestnut trees by incorporating the use of payoles in the different collection centers of its associates, a strategy that ensures that the Chestnut has been stored without being exposed to moisture and has also been dried. This chestnut does not develop imperfections or spoil and a higher yield is obtained when processing it. These practices will be documented using drones and cameras installed in each collection center, and must also be coded in such a way that the data and registration of photos and videos associated with that batch code and the path of the nut from the tree to processing plant.",Non-Sovereign Guaranteed,Technical Cooperation,12/1/20,2/25/21,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Peru,ACTIVE,B,507500,ATN/OC-18397-PE,,USD,ORC-Ordinary Capital,250000,250000,"Thursday, August 31, 2023",Not Defined,Yes,RCR COMERCIALIZADORA Y PROCESADORA SOCIEDAD ANONIMA CERRADA,,,,[],['processing'],[],['processing']
