Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,Keywords Found in Project Name,Keywords Found in Project Description,Keywords Found in Implementing Agency,Keywords Found (Any Column)
P126620,Latin America and Caribbean,Federative Republic,,P126620 Latin America and Caribbean Federative Republic of Brazil Alagoas,"P126620 Latin America and Caribbean Federative Republic of Brazil Alagoas Poverty Reduction and Economic Inclusion Project (PREPI)The objective of the proposed Project is to promote social and productive inclusion of poor families in support of the State Government’s strategy through (i) expanding the coverage of the Unified Registry of Beneficiaries (Cadastro Único) among extremely poor families and promoting its use for the implementation of other social programs; (ii) expanding the coverage of early childhood development services as well as creating conditions more conducive to learning in basic education; (iii) expanding health services to high risk pregnant women in the municipalities of the second macro-region; (iv) improving the productivity and market orientation of small farmers and strengthening labor services; and (v) modernizing the management of the State, facilitating the implementation of coordinated and well-planned public policies.Secretariat of Planning and Economic Development (SEPLANDE) Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P12662 0 July 21, 2011 May 28, 2015 BEGIN APPRAISAL I 150000000 0 0State of Alagoas B December 19, 2024",,,,,,,,,,,,[],"['health', 'market']",[],"['health', 'market']"
P149553,South Asia,Republic of Bangladesh,,P149553 South Asia People's Republic of BangladeshBangladesh NATP-2: National Agricultural,"P149553 South Asia People's Republic of BangladeshBangladesh NATP-2: National Agricultural Technology Program - Phase II ProjectTo increase the agricultural productivity of smallholder farms and improve smallholder farmers' access to markets in selected districts.Ministry of Agriculture (MOA),Ministry of Fisheries and Livestock (MOFL) TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14955 3 September 9, 2014 June 5, 2015 August 7, 2016 June 30, 2023 BANK APPROVED O 0 176060000 31290000People's Republic of Bangladesh B March 26, 2024",Ministry of Agriculture (MOA),,,,,,,,,,,[],['livestock'],[],['livestock']
P149259,Latin America and Caribbean,,,P149259 Latin America and Caribbean GrenadaRegional Disaster Vulnerability Reduction Project,"P149259 Latin America and Caribbean GrenadaRegional Disaster Vulnerability Reduction Project (Additional Finance)The Program aims at measurably reducing vulnerability to natural hazards and climate change impacts in the Eastern Caribbean Sub-region. The objective of the Project in Grenada is to measurably reduce vulnerability to natural hazards and climate change impacts in Grenada and in the Eastern Caribbean Sub-region. The objective of the Project in Saint Vincent and the Grenadines is to measurably reduce vulnerability to natural hazards and climate change impacts in Saint Vincent and the Grenadines and in the Eastern Caribbean Sub-region. The achievement of the Program Development Objectives of the Regional Disaster Vulnerability Reduction Program (RDVRP) would be measured using the following key indicators: (a) Reduced risk of OECS population to failure of public buildings and infrastructure due to natural hazards or climate change impacts; and (b) Increased capacity of OECS Governments to identify and monitor climate risk and impacts. TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14925 9 January 30, 2015 June 8, 2015 January 31, 2022 BANK APPROVED G 0 0 8800000 B August 15, 2024",,,,,,,,,,,,[],[],[],[]
P106685,Latin America and Caribbean,Argentine Republic,,P106685 Latin America and Caribbean Argentine Republic AR Socio-Economic Inclusion,"P106685 Latin America and Caribbean Argentine Republic AR Socio-Economic Inclusion In Rural AreasTo increase the socio-economic inclusion of rural poor (small producers, indigenous people, and rural workers) by: (a) strengthening their organizational, planning and management capacity to achieve poverty-reduction goals; (b) improving their access to communityinfrastructure and services; and (c) piloting a new model for developing sustainable access to markets.Dirección General de Programas y Proyectos Sectoriales y Especiales (DIPROSE) Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P10668 5 May 29, 2009 June 11, 2015 April 7, 2016 November 30, 2022 BANK APPROVED O 52500000 0 0Argentine Republic B December 19, 2023",,,,,,,,,,,,[],[],[],[]
P151209,,Pacific Republic,,P151209 East Asia and Pacific Republic of Fiji Fiji: FCPF,"P151209 East Asia and Pacific Republic of Fiji Fiji: FCPF REDD+ Readiness Preperation Proposal Readiness FundThe development objective of Grant is to assist Fiji to catTy out the Readiness Preparation Activities by supporting the preparation of its REDD+ strategy through a participatory and inclusive process, the establishment of a national MRY system, and by producing technical work and policy advice to help strengthen sustainable land and forest management practices. Ministry of Forestshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15120 9 August 28, 2017 June 12, 2015 December 31, 2022 BANK APPROVED G 5800000 Republic of Fiji July 16, 2024",Ministry of Forestshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15120 9 August 28,,,,,,,,,,,[],[],[],[]
P154847,South Asia,Asia Republic,,P154847 South Asia Republic of India Andhra Pradesh Disaster Recovery,"P154847 South Asia Republic of India Andhra Pradesh Disaster Recovery ProjectThe Project Development Objectives (PDO) are to restore, improve, and enhance resilience of public services, environmental facilities, and livelihoods in Targeted Communities, and to enhance the capacity of state entities to respond promptly and effectively toan eligible crisis or emergency.Revenue and Disaster Management Department, Government of Andhra Pradesh Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15484 7 May 1, 2015 June 17, 2015 August 28, 2015 March 31, 2022 BANK APPROVED O 0 250000000 0India A September 29, 2022",,,,,,,,,,,,[],['resilience'],[],['resilience']
P124655,Eastern and Southern Africa,Africa Republic,,P124655 Eastern and Southern Africa Republic of Madagascar FCPF Readiness,"P124655 Eastern and Southern Africa Republic of Madagascar FCPF Readiness Fund GrantThe development objective is improved institutional capacity to design a national REDD+ strategy. The key results of this preparation grant are specifically related to key aspects of readiness for implementing REDD+ at a national level. The grant is not supporting direct investments and is more specifically focused on technical assistance. Indicators have been proposed by the FCPF to measure key results related to progress in achieving strategic areas of REDD+. These indicators align with different aspects outlined in Madagascar’s R- PP and are used throughout the REDD+ Readiness process—corresponding to the implementation of the R-PP . The full list o 34 yes/no indicators is provided in Annex V of the Readiness Assessment Note, but this preparation grant will not be used to address all of the areas and indicators of REDD+ readiness. The result indicators for the PDO are related to the measures defined by the FCPF that are indicative of substantive progress towards REDD+ Readiness and are areas where the World Bank has a comparative advantage in providing support: • REDD+ strategy validated in broad consultation process; • REDD+ M&E system functional according to defined criteria; • Mechanism for tracking REDD+ strategy interventions in place. BNC-REDD+https: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P12465 5 June 9, 2015 June 17, 2015 December 31, 2022 BANK APPROVED G 8627537Ministry of Economy and Finance B August 30, 2024",Ministry of Economy and Finance B August 30,,,,,,,,,,,[],[],[],[]
P153301,South Asia,Asia Republic,,P153301 South Asia Republic of Maldives Climate Change Adaptation ProjectThe,"P153301 South Asia Republic of Maldives Climate Change Adaptation ProjectThe PDO is to demonstrate climate adaptive planning and management through the adoption of a multi-sectoral approach in Addu and Gnaviyani Atolls. Ministry of Environment and Energyhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15330 1 January 5, 2015 June 18, 2015 July 16, 2015 June 30, 2018 BANK APPROVED G 4210000Ministry of Finance and Treasury B July 8, 2024",Ministry of Environment and Energyhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15330 1 January 5,,,,,,,,,,,[],[],[],[]
P131324,,Islamic Republic,,"P131324Middle East, North Africa, Afghanistan, and Pakistan Islamic Republic of","P131324Middle East, North Africa, Afghanistan, and Pakistan Islamic Republic of Pakistan PK-Sindh Barrages Improvement ProjectThe PDO is to strengthen the Sindh Irrigation Department’s capacity to operate and manage barrages and improve the reliability and safety of Guddu and Sukkur Barrages in the Province of Sindh. Irrigation Department TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P13132 4 February 6, 2014 June 19, 2015 November 5, 2015 June 30, 2028 BANK APPROVED I 0 219530000 0Islamic Republic of Pakistan A February 1, 2024",,,,,,,,,,,,[],[],[],[]
P155828,Eastern and Southern Africa,Democratic Republic,,P155828 Eastern and Southern AfricaFederal Democratic Republic of Ethiopia AdditionalFianncing-LSMS-ISA,"P155828 Eastern and Southern AfricaFederal Democratic Republic of Ethiopia AdditionalFianncing-LSMS-ISA Ethiopia Rural Socioeconomic SurveyThe idea of the RES is rooted in the need to develop and implement a multi-topic survey that meets Ethiopia's data demands and gaps, is of high quality, accessible to the public, and aligned with the National Strategy for the Development of Statistics (NSDS) covering 2009/10-2013/14. The RES will be an additional input to the monitoring of Ethiopia's poverty reduction strategy (PASDEP).https: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15582 8 June 22, 2015 June 22, 2015 May 31, 2022 BANK APPROVED G 2250000 C May 19, 2020",,,,,,,,,,,,[],[],[],[]
P154327,Europe and Central Asia,Asia Republic,,P154327 Europe and Central Asia Republic of Tajikistan Additional Financing,"P154327 Europe and Central Asia Republic of Tajikistan Additional Financing for Tajikistan PAMP IIThe project development objectives for PAMP II are to: (i) provide access to temporary employment to food-insecure people through the rehabilitation of irrigation and drainage infrastructure, (ii) increase yields of selected crops in response to improved irrigation and infrastructure, and (iii) strengthen the capacity of Tajikistan to introduce integrated water resource management. By improving food access and food availability these measures improve the food security of low-income people in the poor rural areas supported by the project. Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15432 7 May 5, 2015 June 22, 2015 February 28, 2020 BANK APPROVED I 0 12000000 0 B October 12, 2023",,,,,,,,,,,,[],[],[],[]
P133326,,Republic of China,,P133326 East Asia and Pacific People's Republic of ChinaPoverty Alleviation,"P133326 East Asia and Pacific People's Republic of ChinaPoverty Alleviation and Agriculture-based Industry Pilot and Demonstration in Poor Areas ProjectThe Project Development Objective (PDO) is to develop and demonstrate rural value chains that promote equitable organizational arrangements, participation, and the sustainable increase of income of target households in the Project Provinces.National Rural Revitalization Administration of MARA and IPRCC of State Council TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P13332 6 May 28, 2013 June 23, 2015 December 24, 2015 June 30, 2022 BANK APPROVED O 150000000 0 0People's Republic of China B June 26, 2024 - Specific date range: 01/01/2015-12/31/2025 - Sector: Agro-industry; FY17 - Agricultural Extension, Research, and Other Support Activities; FY17 - Agricultural markets, commercialization and agri-business; FY17 - Other Agriculture, Fishing and Forestry; FY17 - Crops; FY17 - Fisheries; FY17 - Public Administration - Agriculture, Fishing & Forestry; FY17 - Forestry; Forestry; FY17 - Livestock; Livestock 5. Dowload Project Id Region Country Project Status Project Name Project Development Objective Implementing Agency Consultan t Services RequiredProject URLDisclosure Date Board Approval DateEffective DateProject Closing DateLast Stage ReachedFinancing TypeTotal Project Cost $USIBRD Commitm ent $USIDA Commitm ent $USTotal IBRD, IDA and GRANT Commitm ent $USGrant Amount $USBorrower Lending Instrumen tEnvironme ntal Assessme nt CategoryEnvironme ntal and Social RiskSector 1 Sector 2 Sector 3 Last Update DateIs it livestock related? Does it Include Necesary Documents Summary",Implementing Agency Consultan t Services RequiredProject URLDisclosure Date Board Approval DateEffective DateProject Closing DateLast Stage ReachedFinancing TypeTotal Project Cost $USIBRD Commitm ent $USIDA Commitm ent $USTotal IBRD,,,,,,,,,,,[],['livestock'],[],['livestock']
P151946,,Socialist Republic,,P151946 East Asia and Pacific Socialist Republic of Viet NamAdditional,"P151946 East Asia and Pacific Socialist Republic of Viet NamAdditional Financing to Livestock Competitiveness and Food Safety ProjectThe project development objectives (PDOs) are to increase the production efficiency of household-based livestock producers, to reduce the environmental impact of livestock production, processing and marketing, and to improve food safety in livestock product supply chains (mainly meat) in selected provinces. Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15194 6 February 2, 2015 June 26, 2015 June 30, 2019 BANK APPROVED I 0 44680000 0 B June 26, 2024",,,,,,,,,,,,[],"['efficiency', 'livestock', 'meat']",[],"['efficiency', 'livestock', 'meat']"
P151568,Latin America and Caribbean,Caribbean Republic,,P151568 Latin America and Caribbean Republic of ColombiaStrengthening Capacity on,"P151568 Latin America and Caribbean Republic of ColombiaStrengthening Capacity on Good Environmental Practices in Commercial Reforestation in the Magdalena Bajo Seco CDM ProjectThe project development objective (PDO) is to strengthen the capacity of ONF International-Andina and other implementation agencies (Cormagdalena, Faber Castell) for effective implementation of the Environmental Management Plan (EMP) for the Commercial Reforestation on Lands Dedicated to Extensive Cattle Grazing Activities in the Region of Magdalena Bajo Seco-CDM Project. ONF Andinahttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15156 8 June 26, 2015 June 26, 2015 June 26, 2015 September 30, 2017 BANK APPROVED G 74040ONF International (ONFI) C March 15, 2022",,,,,,,,,,,,[],['grazing'],[],['grazing']
P148259,Latin America and Caribbean,Caribbean Republic,,P148259 Latin America and Caribbean Republic of Haiti HT Strengthening,"P148259 Latin America and Caribbean Republic of Haiti HT Strengthening Hydro-Met ServicesThe Project Development Objective (PDO) is to strengthen the Republic of Haiti's institutional capacity to providehydro-meteorological and climate information services customized to the needs of the civil protection and agriculture sectors,which contributes to increasing disaster and climate resilience.Ministry of Agriculture, Natural Resources and Rural Development (MARNDR) TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14825 9 October 14, 2014 June 26, 2015 October 19, 2015 October 30, 2020 BANK APPROVED G 5000001Republic of Haiti B August 15, 2024",Ministry of Agriculture,,,,,,,,,,,[],['resilience'],[],['resilience']
P155039,,,,P155039 Africa AfricaSUPPORT TO THE REBUILDING OF THE AGRICULTURAL PRODUCTIVITY,"P155039 Africa AfricaSUPPORT TO THE REBUILDING OF THE AGRICULTURAL PRODUCTIVITY IN GUINEA, SIERRA LEONE AND LIBERIA PROJECTTo support the restoration of the agricultural productivity of small scale producers including women producers through the provision of improved certified and foundation seeds for rice and maize in Guinea, Sierra Leone and Liberia in order to mitigate the impact of the Ebola outbreak on the vulnerable poor rural households. The project will also contribute to a higher objective of food security and poverty reduction in these selected countries. CORAF/WECARDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15503 9 April 23, 2015 June 27, 2015 June 29, 2015 December 31, 2016 BANK APPROVED G 3000000CORAF/WECA RD B November 14, 2024",,,,,,,,,,,,[],[],[],[]
P147745,Eastern and Southern Africa,Africa Republic,,P147745 Eastern and Southern Africa Republic of Zambia Zambia Livelihood,"P147745 Eastern and Southern Africa Republic of Zambia Zambia Livelihood and Nutrition ProjectThe <strong>Project Development Objective (PDO) </strong>is to improve access to livelihood opportunities and nutrition among selected female youths in targeted project areas. Concern Worldwide Zambiahttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14774 5 June 29, 2015 June 29, 2015 June 29, 2015 June 30, 2018 BANK APPROVED G 2754965Concern Worldwide C September 8, 2023",,,,,,,,,,,,[],[],[],[]
P153709,Europe and Central Asia,Asia Republic,,P153709 Europe and Central Asia Republic of TajikistanEnvironmental Land Management,"P153709 Europe and Central Asia Republic of TajikistanEnvironmental Land Management and Rural Livelihoods - Additional FinancingThe overall Project Development Objective (PDO) and Global Environmental Objective (GEO) is to enable rural people to increase their productive assets in ways that improve natural resource management and resilience to climate change in selected climate vulnerablesites Committee for Environmental Protection Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15370 9 May 28, 2015 June 30, 2015 May 31, 2018 BANK APPROVED G 0 1800000 2000000Ministry of Finance B July 31, 2023 - Specific date range: 01/01/2015-12/31/2025 - Sector: Agro-industry; FY17 - Agricultural Extension, Research, and Other Support Activities; FY17 - Agricultural markets, commercialization and agri-business; FY17 - Other Agriculture, Fishing and Forestry; FY17 - Crops; FY17 - Fisheries; FY17 - Public Administration - Agriculture, Fishing & Forestry; FY17 - Forestry; Forestry; FY17 - Livestock; Livestock 5. Dowload Project Id Region Country Project Status Project Name Project Development Objective Implementing Agency Consultan t Services RequiredProject URLDisclosure Date Board Approval DateEffective DateProject Closing DateLast Stage ReachedFinancing TypeTotal Project Cost $USIBRD Commitm ent $USIDA Commitm ent $USTotal IBRD, IDA and GRANT Commitm ent $USGrant Amount $USBorrower Lending Instrumen tEnvironme ntal Assessme nt CategoryEnvironme ntal and Social RiskSector 1 Sector 2 Sector 3 Last Update DateIs it livestock related? Does it Include Necesary Documents Summary",Ministry of Finance B July 31,,,,,,,,,,,[],"['livestock', 'resilience']",[],"['livestock', 'resilience']"
P145055,,Socialist Republic,,P145055 East Asia and Pacific Socialist Republic of Viet Nam,"P145055 East Asia and Pacific Socialist Republic of Viet Nam Sustainable Agriculture Transformation ProjectThe project development objective is to improve farming practices and value chains in the targeted project areas, and promote institutional strengthening of relevant public agencies in effective support to implementation of the Agricultural Restructuring Plan. Ministry of Agriculture and Rural Development TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14505 5 November 26, 2014 June 30, 2015 December 3, 2015 June 30, 2022 BANK APPROVED I 0 238000000 0SOCIALIST REPUBLIC OF VIETNAM B June 26, 2024",Ministry of Agriculture and Rural Development TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14505 5 November 26,,,,,,,,,,,[],[],[],[]
P155961,,,,P155961 Africa Africa Regional Partnership for African Fisheries Policy Reform,"P155961 Africa Africa Regional Partnership for African Fisheries Policy Reform (RAFIP)The Project Development Objective (PDO) is to improve the accessibility to best practices and new knowledge on fisheries management of selected SSA countries.# More specifically, this project will: # (a)#Empower the AU to take the lead on a long lasting fisheries partnership mechanism for Africa, leading to regional policy reforms;# (b)#Support knowledge exchange, advisory services, data management and monitoring support for the various current and pipeline investments in the region to ensure that lessons from successes and failures of country and LME-level investments and newly generated knowledge on fisheries are adequately disseminated, for a common understanding of the fisheries reforms necessary to meet the WSSD and the2014 Policy Framework targets; and# (c)#Support individual coastal countries to access financing to support policy reform and investment through technical support in preparation of funding proposals. Attention will be given to reflecting lessons learned from other similar projects, replicating successful interventions, and ensuring continued technical support during project implementation – so this portfolio becomes a series of case studies for the region.# # The Regional Partnership for African Fisheries Policy Reform is also a follow-up phase medium sized project to the GEF/World Bank Strategic Partnership project, which was implemented by the AU between 2009 and 2011, and the last project planned under the Program Framework Document “Strategic Partnership for",,,,,,,,,,,,[],[],[],[]
P125797,,,,Sustainable Fisheries Management in the Large Marine Ecosystems in Afica”,"Sustainable Fisheries Management in the Large Marine Ecosystems in Afica” (P125797). TheProject will be financed through a US$2 million Bank-Executed GEF Trust Fund between 2015 and 2018 for a duration of 3 years. It will act as a regional knowledge and monitoring hub for a SSA GEF/World Bank portfolio of current and pipelinefisheries reform projects (“participating projects”) and related partner-supported activities, with the objective of improving the accessibility to best practices and new knowledge on fisheries management of selected SSA countries. Within this context, it is expected that the Project will assist African coastal countries to make concrete progress towards achieving the fisheries and poverty reduction targets set by the 2002 WSSD, the follow-up 2012 United Nations Conference on Sustainable Development (Rio+20), and the 2014 Policy Framework and Reform Strategy for Fisheries and Aquaculture in Africa. The Project is designed around three thematic components as follows (see Annex C for further detail):# Component 1: Coalition building (US$0.75 million)# Component 2: Knowledge support (US$1.05 million)# Component 3: Portfolio support (US$0.20 million) World Bankhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15596 1 July 1, 2015 July 1, 2015 BANK APPROVED O 2000000 AU-IBAR C June 4, 2024",,,,,,,,,,,,[],[],[],[]
P150930,,,,"P150930Middle East, North Africa, Afghanistan, and Pakistan Kingdom of Morocco","P150930Middle East, North Africa, Afghanistan, and Pakistan Kingdom of Morocco MA-Large Scale Irrigation Modernization ProjectThe project development objectives (PDO) are: (i) for the Doukkala ORMVA, the Gharb ORMVA, the Haouz ORMVA and the Tadla ORMVA, to provide an improved water service to farmers, and (ii) for targeted farmers in the Project Area, to have better access to improved irrigation technologies.Ministry of Agriculture, Marine Fisheries, Rural Development, Water and Forest Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15093 0 March 26, 2015 July 8, 2015 February 8, 2016 December 31, 2022 BANK APPROVED I 150000000 0 0Government of Morocco B June 28, 2023",Ministry of Agriculture,,,,,,,,,,,[],[],[],[]
P153713,,,,P153713 Africa Africa Pastoralism & Stability in the Sahel and,"P153713 Africa Africa Pastoralism & Stability in the Sahel and Horn of Africa (PASSHA)To enhance monitoring and evaluation systems and knowledge on the link between pastoralism development and stability for regional organizations and programs.Permanent Interstate Committee on Drought Control in the Sahel (CILSS)https: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15371 3 July 30, 2014 July 14, 2015 March 11, 2016 December 31, 2017 BANK APPROVED G 2800000Intergovernen tal Authority on Development (IGAD) C July 30, 2024",,,,,,,,,,,,[],['drought'],[],['drought']
P151963,Latin America and Caribbean,Caribbean Republic,,P151963 Latin America and Caribbean Republic of Ecuador Ecuador -,"P151963 Latin America and Caribbean Republic of Ecuador Ecuador - Sustainable Family Farming Modernization ProjectThe project development objective is to enhance incomes of small and medium sized farm households by supporting more productive andclimate-smart use of land and water. Ministry of Agriculture and Livestock TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15196 3 November 3, 2014 July 15, 2015 December 16, 2015 December 31, 2023 BANK APPROVED O 65000000 0 20000000REPUBLIC OF ECUADOR B May 18, 2024",Ministry of Agriculture and Livestock TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15196 3 November 3,,,,,,,,,,,[],['livestock'],['livestock'],['livestock']
P143334,Latin America and Caribbean,Federative Republic,,P143334 Latin America and Caribbean Federative Republic of BrazilFIP: Environmental,"P143334 Latin America and Caribbean Federative Republic of BrazilFIP: Environmental regularization of rural lands in the Cerrado of BrazilThe Project Development Objective is to enhance the capacity of the Federative Republic of Brazil's Ministry of Agriculture, livestock and Food Supply, through Brazilian Forest Service, and nine SEAs to receive, analyze and approve rural environmental cadaster entries and link them to SICAR; and support, in selected municipalities, landholding registration in the CAR.Ministry of Enviroment and Climate Change - Brazilian Forest Service Yeshttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14333 4 July 18, 2013 July 21, 2015 August 18, 2017 December 31, 2022 BANK APPROVED G 32480000Federative Republic of Brazil B January 9, 2024",Ministry of Agriculture,,,,,,,,,,,[],['livestock'],[],['livestock']
P150976,Western and Central Africa,Africa Republic,,P150976 Western and Central Africa Republic of Senegal Senegal-Third Governance,"P150976 Western and Central Africa Republic of Senegal Senegal-Third Governance and Growth Support CreditThis program document proposes third and last Governance and Growth Support Credit for the Republic of Senegal in the amount of SDR ?? million (US$?? million equivalent). This operation is the third and last in a series of three GGSCs, following a series of two Poverty Reduction Support Credits (PRSCs IV and V) completed over 2009-2011. The proposed operation supports the Recipient’s efforts to improve economic governance by strengthening government accountability, public sector performance, and promoting growth through private sector development. Policies and reforms supported by this operation are well aligned with Senegal’s National Strategy for Economic and Social Development (SNDES ) and with the Senegal Emergent Plan, which the Bank supports. The proposed operation is also fully consistent with the objectives of the Bank’s FY13-17 Country Partnership Strategy, presented to the Board in February 2013. Ministry of Economy and Financehttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15097 6 July 23, 2015 July 23, 2015 August 28, 2015 July 31, 2016 BANK APPROVED I 0 50000000 0République du Sénégal March 6, 2024",Ministry of Economy and Financehttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15097 6 July 23,,,,,,,,,,,[],[],[],[]
P146247,Western and Central Africa,Africa Republic,,P146247 Western and Central Africa Republic of Mali Mali Obsolete,"P146247 Western and Central Africa Republic of Mali Mali Obsolete Pesticides Disposal and Prevention ProjectThe proposed Project Development Objective (PDO) is to reduce risks from existing publicly-held obsolete pesticide stocks and associated waste; and strengthen the institutional framework for risk mitigation of obsolete pesticides.MEADD/DNACPN,DNACP-Direction Nationale de l'Assainissement et du Controle des Pollutions et des Nuisances TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14624 7 March 18, 2015 July 24, 2015 December 10, 2015 January 31, 2020 BANK APPROVED O 4140000Ministry of Finance A June 4, 2024",Ministry of Finance A June 4,,,,,,,,,,,[],['waste'],[],['waste']
P128421,South Asia,Asia Republic,,P128421 South Asia Republic of IndiaIN INTEGRATED FLOOD AND EROSION,"P128421 South Asia Republic of IndiaIN INTEGRATED FLOOD AND EROSION MANAGEMENT IN NORTHEAST REGIONThe proposed development objective is to improve soil and watershed management practices and flood management systems in selected states of the Brahmaputra River Basin (i.e., Nagaland, Assam, and Meghalaya). This will contribute to improved long-term resilience of selected communities to flood and erosion risks. Nohttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P12842 1 March 20, 2013 July 31, 2015 CONCEPT REVIEW I 0 150000000 0 A December 19, 2024",,,,,,,,,,,,[],['resilience'],[],['resilience']
P154854,Latin America and Caribbean,,,P154854 Latin America and Caribbean Plurinational State of BoliviaBO Community,"P154854 Latin America and Caribbean Plurinational State of BoliviaBO Community Investment in Rural Areas Project Additional FinancingTo improve access to sustainable basic infrastructure and services for the most disadvantaged rural communities selected in some ofthe poorest municipalities of Bolivia. Nohttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15485 4 May 27, 2015 August 4, 2015 December 31, 2020 BANK APPROVED O 0 60000000 0 B May 10, 2022",,,,,,,,,,,,[],[],[],[]
P144183,Western and Central Africa,Islamic Republic,,P144183 Western and Central Africa Islamic Republic of MauritaniaMauritania Sustainable,"P144183 Western and Central Africa Islamic Republic of MauritaniaMauritania Sustainable Landscape Management Project under the SAWAPThe Project Development Objective (PDO) is to strengthen sustainable landscape management in targeted productive ecosystems in Mauritania.Directorate of Protection and Restoration of Eco-system and Milieu of the Ministry of Environment an TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14418 3 July 14, 2015 August 4, 2015 December 17, 2015 January 31, 2021 BANK APPROVED O 4810000Ministry of Economy and Industry B June 4, 2024 - Specific date range: 01/01/2015-12/31/2025 - Sector: Agro-industry; FY17 - Agricultural Extension, Research, and Other Support Activities; FY17 - Agricultural markets, commercialization and agri-business; FY17 - Other Agriculture, Fishing and Forestry; FY17 - Crops; FY17 - Fisheries; FY17 - Public Administration - Agriculture, Fishing & Forestry; FY17 - Forestry; Forestry; FY17 - Livestock; Livestock 5. Dowload Project Id Region Country Project Status Project Name Project Development Objective Implementing Agency Consultan t Services RequiredProject URLDisclosure Date Board Approval DateEffective DateProject Closing DateLast Stage ReachedFinancing TypeTotal Project Cost $USIBRD Commitm ent $USIDA Commitm ent $USTotal IBRD, IDA and GRANT Commitm ent $USGrant Amount $USBorrower Lending Instrumen tEnvironme ntal Assessme nt CategoryEnvironme ntal and Social RiskSector 1 Sector 2 Sector 3 Last Update DateIs it livestock related? Does it Include Necesary Documents Summary",Ministry of Environment an TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P14418 3 July 14,,,,,,,,,,,[],['livestock'],[],['livestock']
P154680,Eastern and Southern Africa,Democratic Republic,,P154680 Eastern and Southern AfricaFederal Democratic Republic of EthiopiaTana &,"P154680 Eastern and Southern AfricaFederal Democratic Republic of EthiopiaTana & Beles Integrated Water Resources Development Additional FinanceDevelop enabling institutions and investments for integrated planning, management and development in the Tana and Beles Sub-basins for integrated water resources development.Ministry of Water and Energy, Federal Government of Ethiopia TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P15468 0 June 3, 2015 August 25, 2015 July 31, 2016 BANK APPROVED I 0 5100000 0Debt Management Directorate, the Ministry of Finance and Economic Development B August 5, 2024",Ministry of Water and Energy,,,,,,,,,,,[],[],[],[]
P131778,Western and Central Africa,Africa Republic,,P131778 Western and Central Africa Republic of Cote d'Ivoire Obsolete,"P131778 Western and Central Africa Republic of Cote d'Ivoire Obsolete Pesticides Management ProjectThe Project Development Objective (PDO) is to improve the management of obsolete pesticides and associated wastes in Cote d'Ivoire by the Government and other stakeholders.Ministry of Environment, Urban Health and Sustainable Development TBDhttps: //projects. worldbank. org/en/projec ts- operations/pr oject- detail/P13177 8 July 12, 2013 August 25, 2015 January 19, 2016 June 30, 2021 BANK APPROVED O 7000000Ministry of Economy and Finance A June 4, 2024",Ministry of Environment,,,,,,,,,,,[],['health'],[],['health']
